ds,y
2013-08-06,7.3
2013-08-07,7.4
2013-08-08,7.7
2013-08-12,7.85
2013-08-13,7.65
2013-08-14,7.75
2013-08-15,7.9
2013-08-16,8.05
2013-08-19,8.15
2013-08-20,8.2
2013-08-21,8.05
2013-08-22,7.95
2013-08-23,7.9
2013-08-26,7.9
2013-08-27,7.75
2013-08-28,7.5
2013-08-29,7.65
2013-08-30,7.7
2013-09-02,7.65
2013-09-03,7.75
2013-09-04,7.8
2013-09-05,7.85
2013-09-06,7.85
2013-09-09,8.05
2013-09-10,8.1
2013-09-11,8.05
2013-09-12,8.05
2013-09-13,8.0
2013-09-16,8.1
2013-09-17,8.15
2013-09-18,8.2
2013-09-19,8.35
2013-09-20,8.5
2013-09-23,8.35
2013-09-24,8.25
2013-09-25,8.4
2013-09-26,8.35
2013-09-27,8.35
2013-09-30,8.5
2013-10-01,8.7
2013-10-02,8.75
2013-10-03,8.9
2013-10-04,8.9
2013-10-07,9.1
2013-10-08,9.4
2013-10-09,9.1
2013-10-10,9.0
2013-10-11,9.0
2013-10-14,9.05
2013-10-15,9.15
2013-10-16,9.15
2013-10-17,9.1
2013-10-18,9.1
2013-10-22,8.95
2013-10-23,9.05
2013-10-24,9.05
2013-10-25,9.0
2013-10-28,9.0
2013-10-30,9.25
2013-10-31,9.45
2013-11-01,9.55
2013-11-04,9.7
2013-11-05,9.65
2013-11-06,9.7
2013-11-07,9.85
2013-11-08,9.75
2013-11-11,9.8
2013-11-12,9.8
2013-11-13,9.8
2013-11-14,9.85
2013-11-15,9.85
2013-11-18,9.9
2013-11-19,9.95
2013-11-20,10.05
2013-11-21,10.6
2013-11-22,10.75
2013-11-25,10.95
2013-11-26,11.0
2013-11-27,11.0
2013-11-28,11.0
2013-11-29,10.8
2013-12-02,10.85
2013-12-03,10.8
2013-12-04,10.75
2013-12-05,10.35
2013-12-06,10.35
2013-12-09,10.35
2013-12-10,10.2
2013-12-11,10.05
2013-12-16,10.0
2013-12-17,9.85
2013-12-18,9.95
2013-12-19,10.0
2013-12-20,10.05
2013-12-23,10.25
2013-12-24,10.85
2013-12-27,10.75
2013-12-30,10.85
2013-12-31,10.85
2014-01-02,10.75
2014-01-03,10.8
2014-01-06,11.05
2014-01-07,11.1
2014-01-08,11.35
2014-01-09,11.7
2014-01-10,11.75
2014-01-13,11.65
2014-01-14,11.65
2014-01-15,11.7
2014-01-16,11.5
2014-01-17,11.5
2014-01-20,11.7
2014-01-21,11.75
2014-01-22,12.0
2014-01-23,12.05
