y,Prediction
24.75,29.67461667726462
24.0,29.717166956496055
25.0,29.162482309597348
24.75,29.21620995144387
24.75,29.852711248913103
24.75,29.918696054321305
24.5,29.975798621651833
24.0,30.038842702862663
24.25,30.07532711492149
24.25,29.509641033159895
24.5,29.54777905043207
24.75,30.164545760514166
24.5,30.20717828861915
24.5,30.237908628691287
24.0,30.272213755621134
23.0,30.278285203716315
22.25,29.68122778620172
23.5,29.68775792147322
23.75,30.2733917461453
23.5,30.28605184359008
23.75,30.288614826924416
23.75,30.297148087608825
23.75,30.280367699212213
23.5,29.66382739729316
23.5,29.6546092896644
23.5,30.228506604132118
23.5,30.233627365848697
23.5,30.232941242806312
23.25,30.24251780797715
23.5,30.230988085962593
24.5,29.623739129404548
23.75,29.62761205601727
22.5,30.21809358988794
22.75,30.24292970424222
23.25,30.264683287203155
24.25,30.2989837496376
24.25,30.314000111188978
24.25,29.734646985300863
24.0,29.767293586360772
23.75,30.386965520165642
23.75,30.440967705474883
23.5,30.491450138184952
23.5,30.5536642518641
23.75,30.59544129367349
23.75,30.041402069775568
23.75,30.09766816752242
23.8,30.73906444958111
23.8,30.812741248789003
23.8,30.88073809940933
23.75,30.958236920334613
23.75,31.013036262353683
23.75,30.469756190623297
23.6,30.534544142680108
23.65,31.18227179789224
23.4,31.26015162715847
23.0,31.33029518956977
22.65,31.40796130584976
22.05,31.46102591102421
22.15,30.91418331766253
22.9,30.973649354907113
23.0,31.614356504934758
23.0,31.68356974963435
22.9,31.743445195476983
22.45,31.809279565211654
22.3,31.84898227711671
22.6,31.287279724053164
22.6,31.330422065588863
22.85,31.95338247557012
22.2,32.0034773579605
22.25,32.042929385390444
22.15,32.08712122978763
21.3,32.1040714886713
21.45,31.51864221231531
22.0,31.537248155699892
22.3,32.13505753299239
23.0,32.15961265388221
23.4,32.17339219897256
23.5,32.192062946931884
23.5,32.183952443586
23.8,31.574252049508782
23.75,31.569720566030526
23.7,32.145878336612995
23.5,32.15062036219653
23.3,32.14677038296582
23.25,32.15032396463885
23.2,32.12991232857808
23.45,31.51099662748126
23.45,31.500563139777803
23.45,32.074309552268566
23.7,32.08025113304836
23.85,32.08126899271537
25.5,32.09334869174759
26.0,32.08504111970586
26.5,31.48165549453694
26.9,31.489955056305927
27.05,32.085345676662286
26.85,32.11548618576093
26.8,32.142842561048575
26.9,32.182934129477346
26.9,32.20380355171532
26.45,31.63022023249994
26.1,31.66838748529785
26.05,32.29314339088156
26.15,32.35158384179375
26.15,32.40562958795225
26.0,32.47028509546184
26.05,32.51312064714221
26.5,31.958486997979158
26.6,32.01223260157739
26.55,32.64891306310572
26.0,32.71542106318772
26.1,32.77355836450289
26.45,32.838297560115734
26.5,32.87726489438871
26.6,32.31495343077773
26.8,32.35743660421328
27.0,32.97957189570199
26.9,33.028623014472196
26.9,33.0668223956753
26.75,33.10962191907615
27.0,33.12516346972353
27.75,32.53847894082049
28.5,32.55619006924951
28.0,33.153698211194744
28.55,33.178792819696916
28.65,33.194200804722506
28.15,33.21582503930455
27.95,33.21220396613895
27.6,32.60870220402496
27.25,32.61220280084546
27.1,33.198291446484674
27.55,33.21486155702309
27.9,33.224662499526005
28.1,33.24353924609843
28.1,33.23989537226405
28.05,32.63888919613496
28.0,32.64713354137877
28.0,33.23988921735079
27.85,33.2646808575927
27.75,33.28385707328378
27.7,33.31284286389754
27.5,33.31961582983257
27.3,32.728915599887266
27.5,32.746956570657495
27.85,33.34863367401855
27.85,33.38114945630878
27.95,33.406584098037634
28.0,33.44015602807254
27.95,33.44970443644084
27.95,32.85990291280217
28.0,32.87697418201667
28.15,33.47589559136105
29.55,33.50402363710727
29.25,33.52365922944879
28.65,33.55030148369687
28.6,33.55212153623939
28.15,32.954165861399176
27.95,32.96305935747588
27.45,33.55419819263325
27.2,33.575361064245506
26.4,33.58926095574757
26.7,33.61178557227141
26.25,33.61145834383963
26.15,33.013629848260564
26.2,33.02517027294979
26.35,33.62165322207511
26.1,33.65095979407222
26.15,33.675825232829766
26.45,33.71207649457585
26.8,33.72809271672016
28.35,33.14899847220455
28.0,33.18136039283433
27.65,33.80037736609524
27.45,33.853493065181965
27.65,33.902952891528805
27.7,33.96405339539532
27.7,34.004615839686686
27.4,33.449193433939946
27.45,33.503782439936025
27.55,34.143026956730466
27.5,34.21384574484071
27.35,34.27800277674254
27.2,34.3503692061502
27.25,34.39840807772009
27.3,33.84639099975749
27.0,33.90011672479576
27.15,34.534121244140785
27.25,34.59530761489337
27.3,34.64551712968516
27.45,34.699789510982605
27.5,34.72584350738587
27.55,34.148287234880186
28.1,34.17332838923466
28.15,34.77597417254912
28.15,34.803649438042505
28.15,34.818754989146555
27.75,34.83691407163798
27.85,34.82643881359628
27.55,34.212526343437744
27.0,34.20195509819986
27.5,34.770271538943604
27.45,34.76539612837498
27.75,34.75017082529152
27.5,34.740596411566706
27.7,34.705291634468466
27.95,34.06968406732864
27.75,34.040703313825595
27.85,34.59396682332949
27.8,34.57738715965207
27.25,34.55372290253879
27.5,34.53882136261319
27.5,34.5010849023174
27.6,33.86567052632238
27.55,33.83919308537315
27.45,34.396922046476895
27.4,34.386400333642655
27.55,34.37000706677863
27.6,34.363212024816534
27.6,34.33405327834249
27.45,33.70734732571685
27.2,33.68940177440984
27.3,34.25522025432153
27.65,34.252127844733
27.9,34.24233866996524
28.0,34.24121337179158
28.5,34.216737843696386
29.2,33.59373255972365
29.45,33.57856259701891
29.3,34.14633815253718
29.1,34.144534001764065
29.0,34.1355497676991
28.9,34.134958961507515
28.3,34.11097846542506
28.2,33.48866809934508
28.0,33.47463069246225
28.25,34.04420278632083
28.15,34.04506473654012
28.05,34.03979238465938
26.2,34.04409853917109
26.65,34.026296180017695
26.85,33.411493230297715
26.8,33.406289471363536
26.85,33.98596583036492
26.95,33.998094855015744
27.05,34.00509453804124
27.15,34.022473665246
27.15,34.018300482323625
27.2,33.41740435473985
27.15,33.426080782459046
27.25,34.01928974585556
27.2,34.044275914365286
27.35,34.063132575386625
27.5,34.09105714011821
27.5,34.09582970170073
27.55,33.502024007590926
27.15,33.515720912591476
27.1,34.111714019682935
27.5,34.137135805532274
27.55,34.15402589536657
27.65,34.17758919887012
28.1,34.175675289924925
28.05,33.572988354940975
27.85,33.57579779572417
28.2,34.15913926980755
28.3,34.170434595005155
28.45,34.17205236296838
28.0,34.17955719851601
27.9,34.16117931070113
27.9,33.542013953836374
28.45,33.528721199172246
28.25,34.096716126750124
28.45,34.093778192543574
28.5,34.08260193593797
28.6,34.07903726644053
28.7,34.05155125046583
28.85,33.42542125539371
28.9,33.40743004728283
29.25,33.97305309794443
29.75,33.97006694853378
30.3,33.961100829467746
30.4,33.961879751755234
30.5,33.9406909086414
30.7,33.32258310683423
31.2,33.3140696337825
30.0,33.89032458019118
29.4,33.89880118894404
29.0,33.90179412276654
29.3,33.91469353613811
29.95,33.90546244845046
28.75,33.298846793888174
28.55,33.3010882192372
28.55,33.88712933241495
28.6,33.90423968508175
28.5,33.91458413150976
28.45,33.933481244550656
28.9,33.92888313318258
28.85,33.32558594179548
28.9,33.32994106771849
28.95,33.91705682727718
29.25,33.93441894322535
29.4,33.94445164501239
29.5,33.962767268011525
29.4,33.957635951709364
29.45,33.354185015698
30.0,33.3590983832509
30.1,33.94780614100328
30.15,33.968092980325274
30.25,33.98264768810716
30.3,34.007301941646446
30.05,34.01049035746351
30.0,33.41744169332247
30.2,33.4348718544351
30.9,34.03816902552665
31.3,34.07499985199724
31.65,34.10785895407813
31.7,34.152310079285186
31.45,34.17645082561522
31.35,33.60511074914515
31.5,33.644553354702275
31.3,34.26967207593487
31.55,34.327608894960115
31.5,34.38031756200657
31.55,34.4428193549827
31.85,34.48268291422948
32.8,33.924237547991574
32.8,33.97329007994762
32.7,34.604334920550244
32.75,34.66418560265948
32.0,34.71454935880224
32.0,34.77029233453554
31.5,34.798926675604214
31.55,34.224828643464946
31.55,34.2539576535554
31.5,34.86106581068785
31.55,34.89332614792735
31.3,34.91290118702855
30.7,34.93519953021649
29.95,34.92835190818696
30.05,34.31741609361403
30.6,34.30908089025497
30.45,34.878859140636195
30.8,34.87469837050724
30.95,34.85953113232122
31.55,34.849513222146626
32.8,34.81348166760738
32.9,34.177142364119256
32.65,34.14775802018959
32.5,34.701326775887566
31.5,34.6861804928261
31.0,34.66552510676604
30.9,34.65567148579144
30.5,34.62548889261931
29.95,34.00059105613604
29.95,33.98802556412991
29.9,34.56345691446756
29.9,34.57477211877513
29.75,34.58463107086671
28.2,34.608709874178
28.1,34.61516891491957
27.9,34.028855319455644
28.1,34.056010096320655
28.85,34.67146985467838
29.1,34.722291525787526
29.55,34.77032182265923
29.5,34.83045915814481
27.35,34.870139349717014
27.75,34.31355431855641
27.85,34.36637369120026
25.75,35.0029588522486
24.35,35.06999758884638
24.45,35.12908084084094
25.1,35.19496912537763
25.35,35.23507988581693
25.4,34.673704968626716
25.4,34.7167282062543
24.6,35.33883279513402
24.45,35.38712681660694
24.5,35.42370868163412
24.65,35.46392038708166
25.35,35.47582019525143
26.0,34.884384334557076
26.45,34.896208114981285
26.9,35.48669657303166
28.25,35.503673417830115
28.75,35.50993046998178
27.55,35.52146586790338
26.8,35.50694300622416
26.2,34.89188011430644
26.35,34.88334112830493
27.05,35.4571181748679
27.45,35.46133458079032
27.4,35.45899067972704
