Model,RMSE
Auto-ARIMA,3.180239153454507
KNN,12.633018739324035
Linear Regression,4.570070248090647
LSTM,0.4590223912164574
Moving Average,2.263798877253761
Prophet,6.33051763644631
LSTM,0.5166491359300861
LSTM,0.5166491359300861
LSTM,0.5166491359300861
LSTM,0.5166491359300861
LSTM,0.5166491359300861
LSTM,0.5166491359300861
LSTM,0.6890266813961216
LSTM,0.6890266813961216
LSTM,0.6546348257804049
