Price,Prediction
24.75,28.110407603036947
24.0,28.12229994602876
25.0,28.15398512606498
24.75,28.165877469055886
24.75,28.17776981204679
24.75,28.189662155036785
24.5,28.20155449802769
24.0,28.295918954059744
24.25,28.366387781188678
24.25,28.378280124178673
24.5,28.390172467169577
24.75,28.402064810160482
24.5,28.43374999019761
24.5,28.445642333188516
24.0,28.469427019169416
23.0,28.48131936215941
22.25,28.51300454219745
23.5,28.524896885187445
23.75,28.53678922817744
23.5,28.548681571169254
23.75,28.56057391415925
23.75,28.59225909419729
23.75,28.604151437187284
23.5,28.61604378017728
23.5,28.627936123168183
23.5,28.639828466159088
23.5,28.671513646196217
23.5,28.683405989186213
23.25,28.75367564462249
23.5,28.366029112431534
24.5,28.47172256241265
23.75,28.50340774244978
22.5,28.515300085440686
22.75,28.52719242843159
23.25,28.539084771421585
24.25,28.55097711441158
24.25,28.58266229444962
24.25,28.594554637439614
24.0,28.60644698043143
23.75,28.618339323421424
23.75,28.63023166641142
23.5,28.661916846449458
23.5,28.673809189439453
23.75,28.685701532430357
23.75,28.697593875420353
23.75,28.709486218411257
23.8,28.741171398448387
23.8,28.75306374143929
23.8,28.764956084430196
23.75,28.77684842742019
23.75,28.84711808285556
23.75,28.94168171058118
23.6,28.953574053572083
23.65,28.96546639656208
23.4,28.977358739552074
23.0,28.989251082542978
22.65,29.020936262580108
22.05,29.032828605571922
22.15,29.056613291551912
22.9,29.068505634542817
23.0,29.100190814579946
23.0,29.11208315757085
22.9,29.123975500561755
22.45,29.13586784355175
22.3,29.147760186542655
22.6,29.179445366579785
22.6,29.21512239555068
22.85,29.227014738542493
22.2,29.506819190958595
22.25,29.252869611579627
22.15,29.26476195457053
21.3,29.276654297560526
21.45,29.308339477597656
22.0,29.32023182058856
22.3,29.332124163579465
23.0,29.34401650656946
23.4,29.355908849559455
23.5,29.387594029597494
23.5,29.39948637258749
23.8,29.411378715579303
23.75,29.4232710585693
23.7,29.435163401559294
23.5,29.466848581597333
23.3,29.478740924588237
23.25,29.490633267578232
23.2,29.502525610568227
23.45,29.51441795356004
23.45,29.54610313359626
23.45,29.557995476588076
23.7,29.56988781957807
23.85,29.64015747501344
25.5,29.252510942822482
26.0,29.377997229850735
26.5,29.38988957284164
26.9,29.401781915831634
27.05,29.41367425882163
26.85,29.425566601813443
26.8,29.457251781849664
26.9,29.469144124841478
26.9,29.481036467831473
26.45,29.492928810821468
26.1,29.504821153812372
26.05,29.53650633385041
26.15,29.548398676840407
